RecordID,InputAddress,City,State,Zip,Latitude,Longitude
1,515 E Peltason Dr,Irvine,CA,92617,33.642963,-117.836463
2,4 Alcott Ct,Irvine,CA,92617,33.640275,-117.841219
3,16 Joyce Ct,Irvine,CA,92617,33.634868,-117.841251
4,11 Murasaki St,Irvine,CA,92617,33.640608,-117.835352
5,10 Whistler Ct,Irvine,CA,92617,33.635299,-117.840373
6,25 Harvey Ct,Irvine,CA,92617,33.636319,-117.842609
7,18 Murasaki St,Irvine,CA,92617,33.64048,-117.834396
8,20 Newton Ct,Irvine,CA,92617,33.638972,-117.839477
9,26 McClintock Ct,Irvine,CA,92617,33.634736,-117.840604
10,4 Gibbs Ct,Irvine,CA,92617,33.638348,-117.84366
11,26 Whistler Ct,Irvine,CA,92617,33.635755,-117.840366
12,20 Whitman Ct,Irvine,CA,92617,33.636301,-117.841181
13,16 Whitman Ct,Irvine,CA,92617,33.636547,-117.841026
14,22 Young,Irvine,CA,92617,33.637222,-117.841091
15,21 Harvey Ct,Irvine,CA,92617,33.636431,-117.842275
16,40 Gabrielino Dr,Irvine,CA,92617,33.64052,-117.83605
17,14 Gibbs Ct,Irvine,CA,92617,33.63811,-117.842592
18,67 Whitman Ct,Irvine,CA,92617,33.637096,-117.838402
19,26 Young,Irvine,CA,92617,33.637017,-117.841442
20,20 Alcott Ct,Irvine,CA,92617,33.639584,-117.841296
21,7 Gibbs Ct,Irvine,CA,92617,33.63863,-117.844072
22,10 Fuertes,Irvine,CA,92617,33.639814,-117.834447
23,17 Harvey Ct,Irvine,CA,92617,33.636522,-117.842553
24,3 Alcott Ct,Irvine,CA,92617,33.639905,-117.841701
25,24 Alcott Ct,Irvine,CA,92617,33.639534,-117.841356
26,30 Perkins Ct,Irvine,CA,92617,33.639789,-117.838579
27,1 Virgil Ct,Irvine,CA,92617,33.638014,-117.838066
28,29 Murasaki St,Irvine,CA,92617,33.639717,-117.833649
29,21 Murasaki St,Irvine,CA,92617,33.640116,-117.834499
30,7 Virgil Ct,Irvine,CA,92617,33.638289,-117.837748
31,55 Schubert Ct,Irvine,CA,92617,33.642081,-117.837962
32,6 Fuertes,Irvine,CA,92617,33.639941,-117.834788
33,73 Whitman Ct,Irvine,CA,92617,33.636707,-117.837898
34,5 Owen Ct,Irvine,CA,92617,33.639012,-117.83841
35,60 Whitman Ct,Irvine,CA,92617,33.637323,-117.838711
36,14 Joyce Ct,Irvine,CA,92617,33.634811,-117.841419
37,4 Virgil Ct,Irvine,CA,92617,33.638314,-117.838416
38,14 Dickens Ct,Irvine,CA,92617,33.63909,-117.842502
39,6 Gibbs Ct,Irvine,CA,92617,33.638562,-117.843668
40,19 Dickens Ct,Irvine,CA,92617,33.638594,-117.842428
41,8 Blake Ct,Irvine,CA,92617,33.640479,-117.842079
42,12 Blake Ct,Irvine,CA,92617,33.640432,-117.84235
43,10 Thompson Ct,Irvine,CA,92617,33.640754,-117.839547
44,38 Gabrielino Dr,Irvine,CA,92617,33.64052,-117.83605
45,12 Handel Ct,Irvine,CA,92617,33.635082,-117.84183
46,3 Twain,Irvine,CA,92617,33.640305,-117.83556
47,14 Russell Ct,Irvine,CA,92617,33.641542,-117.839615
48,5 Murasaki St,Irvine,CA,92617,33.640863,-117.835916
49,1 Zola Ct,Irvine,CA,92617,33.637257,-117.837583
50,2 Owen Ct,Irvine,CA,92617,33.639194,-117.839064
51,7 Dickens Ct,Irvine,CA,92617,33.639214,-117.843638
52,11 Fuertes,Irvine,CA,92617,33.639466,-117.8346
53,18 Alcott Ct,Irvine,CA,92617,33.639677,-117.841166
54,127 Schubert Ct,Irvine,CA,92617,33.642357,-117.838936
55,19 Murasaki St,Irvine,CA,92617,33.640185,-117.834678
56,1 Alcott Ct,Irvine,CA,92617,33.639975,-117.84167
57,31 Murasaki St,Irvine,CA,92617,33.639619,-117.83348
58,99 Schubert Ct,Irvine,CA,92617,33.642113,-117.839299
59,8 Virgil Ct,Irvine,CA,92617,33.638498,-117.838238
60,125 Schubert Ct,Irvine,CA,92617,33.642204,-117.838692
61,12 Curie Ct,Irvine,CA,92617,33.639575,-117.842395
62,57 Schubert Ct,Irvine,CA,92617,33.642115,-117.838044
63,11 Virgil Ct,Irvine,CA,92617,33.638377,-117.837462
64,103 Schubert Ct,Irvine,CA,92617,33.64193,-117.839516
65,24 Perkins Ct,Irvine,CA,92617,33.639669,-117.839159
66,93 Schubert Ct,Irvine,CA,92617,33.642025,-117.839691
67,22 McClintock Ct,Irvine,CA,92617,33.634661,-117.840814
68,81 Schubert Ct,Irvine,CA,92617,33.642338,-117.839439
69,48 Schubert Ct,Irvine,CA,92617,33.641809,-117.83819
70,16 Eliot Ct,Irvine,CA,92617,33.635575,-117.841686
71,24 Russell Ct,Irvine,CA,92617,33.641112,-117.840093
72,12 Frost,Irvine,CA,92617,33.639255,-117.834745
73,14 Thompson Ct,Irvine,CA,92617,33.640606,-117.839867
74,14 Murasaki St,Irvine,CA,92617,33.640665,-117.834723
75,1 Twain,Irvine,CA,92617,33.640457,-117.83554
76,1 Murasaki St,Irvine,CA,92617,33.641073,-117.836197
77,23 Murasaki St,Irvine,CA,92617,33.640004,-117.834309
78,18 Fuertes,Irvine,CA,92617,33.639514,-117.833806
79,12 Dickens Ct,Irvine,CA,92617,33.639162,-117.842638
80,12 Joyce Ct,Irvine,CA,92617,33.634774,-117.841589
81,24 Harvey Ct,Irvine,CA,92617,33.636717,-117.842015
82,22 Perkins Ct,Irvine,CA,92617,33.639752,-117.839396
83,18 Joyce Ct,Irvine,CA,92617,33.634945,-117.841089
84,5 Dickens Ct,Irvine,CA,92617,33.639133,-117.843506
85,34 Gabrielino Dr,Irvine,CA,92617,33.64052,-117.83605
86,8 Owen Ct,Irvine,CA,92617,33.639404,-117.838633
87,61 Schubert Ct,Irvine,CA,92617,33.641842,-117.83947
88,24 Mendel Ct,Irvine,CA,92617,33.639649,-117.839873
89,14 Eliot Ct,Irvine,CA,92617,33.635515,-117.841862
90,12 Owen Ct,Irvine,CA,92617,33.6395,-117.838304
91,20 Perkins Ct,Irvine,CA,92617,33.639924,-117.839459
92,22 Whistler Ct,Irvine,CA,92617,33.635683,-117.840663
93,77 Whitman Ct,Irvine,CA,92617,33.636414,-117.838081
94,14 Newton Ct,Irvine,CA,92617,33.63905,-117.839806
95,26 Los Trancos Dr,Irvine,CA,92617,33.637546,-117.84297
96,2 Urey Ct,Irvine,CA,92617,33.638286,-117.83904
97,6 Perkins Ct,Irvine,CA,92617,33.640108,-117.838364
98,5 Whistler Ct,Irvine,CA,92617,33.63542,-117.839973
99,5 Alcott Ct,Irvine,CA,92617,33.639842,-117.841746
100,16 Harvey Ct,Irvine,CA,92617,33.636937,-117.842641
101,8 Thompson Ct,Irvine,CA,92617,33.640754,-117.839373
102,6 Alcott Ct,Irvine,CA,92617,33.640209,-117.841156
103,15 Virgil Ct,Irvine,CA,92617,33.638444,-117.837326
104,2 Twain,Irvine,CA,92617,33.640403,-117.835019
105,28 Young,Irvine,CA,92617,33.63684,-117.841368
106,6 Dickens Ct,Irvine,CA,92617,33.639555,-117.843286
107,15 Zola Ct,Irvine,CA,92617,33.637797,-117.836892
108,27 Harvey Ct,Irvine,CA,92617,33.636196,-117.842554
109,7 Owen Ct,Irvine,CA,92617,33.639063,-117.838251
110,10 Russell Ct,Irvine,CA,92617,33.641556,-117.839264
111,10 McClintock Ct,Irvine,CA,92617,33.634468,-117.841268
112,17 Fuertes,Irvine,CA,92617,33.639248,-117.834097
113,139 Schubert Ct,Irvine,CA,92617,33.642262,-117.838959
114,109 Schubert Ct,Irvine,CA,92617,33.641968,-117.839706
115,9 Zola Ct,Irvine,CA,92617,33.637596,-117.837129
116,15 Harvey Ct,Irvine,CA,92617,33.636563,-117.842683
117,7 Fuertes,Irvine,CA,92617,33.639569,-117.834939
118,14 Whistler Ct,Irvine,CA,92617,33.635174,-117.840659
119,76 Whitman Ct,Irvine,CA,92617,33.636475,-117.838058
120,18 Virgil Ct,Irvine,CA,92617,33.638766,-117.83757
121,24 Dickens Ct,Irvine,CA,92617,33.638505,-117.841896
122,6 Virgil Ct,Irvine,CA,92617,33.638433,-117.838356
123,18 Dickens Ct,Irvine,CA,92617,33.638938,-117.842185
124,18 Whitman Ct,Irvine,CA,92617,33.636405,-117.841226
125,11 Dickens Ct,Irvine,CA,92617,33.638775,-117.842898
126,18 Perkins Ct,Irvine,CA,92617,33.640109,-117.839418
127,2 Gibbs Ct,Irvine,CA,92617,33.638157,-117.843701
128,44 Schubert Ct,Irvine,CA,92617,33.641667,-117.838216
129,16 Handel Ct,Irvine,CA,92617,33.6352,-117.8415
130,3 Murasaki St,Irvine,CA,92617,33.640947,-117.83608
131,131 Schubert Ct,Irvine,CA,92617,33.642178,-117.838646
132,20 Fuertes,Irvine,CA,92617,33.639432,-117.833664
133,5 Zola Ct,Irvine,CA,92617,33.637389,-117.837321
134,16 Frost,Irvine,CA,92617,33.639133,-117.834423
135,9 Murasaki St,Irvine,CA,92617,33.640745,-117.835532
136,17 Murasaki St,Irvine,CA,92617,33.640278,-117.834854
137,25 Whistler Ct,Irvine,CA,92617,33.635779,-117.84021
138,1 Russell Ct,Irvine,CA,92617,33.641095,-117.838799
139,28 Urey Ct,Irvine,CA,92617,33.637562,-117.841339
140,14 Handel Ct,Irvine,CA,92617,33.635134,-117.841668
141,6 Frost,Irvine,CA,92617,33.639369,-117.835266
142,10 Twain,Irvine,CA,92617,33.639561,-117.835423
143,3 Owen Ct,Irvine,CA,92617,33.638963,-117.83857
144,4 Thompson Ct,Irvine,CA,92617,33.64090,-117.83907
145,6 Blake Ct,Irvine,CA,92617,33.640451,-117.842004
146,4 Fuertes,Irvine,CA,92617,33.639994,-117.83497
147,71 Whitman Ct,Irvine,CA,92617,33.63689,-117.838097
148,7 Russell Ct,Irvine,CA,92617,33.641135,-117.839338
149,1 Owen Ct,Irvine,CA,92617,33.638888,-117.838751
150,24 Young,Irvine,CA,92617,33.637199,-117.841335
151,5 Twain,Irvine,CA,92617,33.640108,-117.835558
